PostType,Likes,Shares,Comments,Views,Hashtags,Location,Time,Total Engagement
videos,952,176,153,6519,"#photo, #inspiration, #nature, #fun, #health",Toronto,4/27/2023 3:21,1281
videos,151,58,16,731,"#health, #fun",New York,8/25/2023 12:09,225
static-image,526,142,76,7721,"#fun, #inspiration, #nature",Paris,10/15/2023 3:53,744
story,676,130,129,8657,"#inspiration, #nature, #photo, #fun, #life",Toronto,5/16/2023 11:06,935
carousel,746,210,125,4181,#photo,Singapore,4/11/2023 2:14,1081
carousel,1040,404,202,4673,#meme,Mumbai,5/29/2023 0:08,1646
story,832,118,126,5234,"#health, #travel, #food, #meme, #tech",Berlin,11/2/2023 4:27,1076
carousel,1522,594,101,5091,"#fun, #life, #travel, #tech",Singapore,9/14/2023 21:46,2217
reels,556,163,59,2398,#tech,Toronto,6/12/2023 10:45,778
story,709,245,134,2664,"#meme, #fun, #food, #inspiration, #tech",Toronto,3/2/2023 6:32,1088
carousel,1381,349,128,9499,#health,Paris,11/13/2023 14:37,1858
reels,2386,358,280,9536,"#travel, #tech, #food",Mumbai,7/3/2023 21:18,3024
story,1133,266,195,5875,"#travel, #life, #meme, #food",Sydney,7/29/2023 17:35,1594
videos,348,77,41,4027,"#travel, #food, #life, #photo",Singapore,10/16/2023 17:18,466
story,154,26,11,680,"#travel, #food, #nature, #health",Toronto,8/26/2023 21:24,191
story,1600,453,160,8668,"#travel, #life, #photo",Mumbai,6/22/2023 21:10,2213
story,90,15,18,1437,"#fun, #meme, #photo, #health",Paris,8/23/2023 2:46,123
carousel,97,33,19,594,"#travel, #photo, #meme",Berlin,12/27/2023 0:20,149
videos,204,33,30,3100,#tech,Los Angeles,4/27/2023 21:40,267
carousel,613,73,30,4448,"#food, #tech",London,1/24/2023 13:59,716
reels,473,61,29,5031,"#travel, #food, #tech",Los Angeles,6/18/2023 11:29,563
reels,423,110,69,4039,"#photo, #fun",Berlin,1/15/2023 6:33,602
videos,597,138,55,2828,"#health, #nature",Toronto,1/1/2023 10:05,790
static-image,1269,261,73,6793,"#food, #life, #tech, #travel",Paris,2/14/2023 7:09,1603
static-image,561,162,106,9852,"#life, #travel, #health",Sydney,8/21/2023 1:25,829
carousel,363,69,18,6542,"#inspiration, #fun, #photo, #meme",Toronto,3/3/2023 5:29,450
story,1779,524,284,8518,"#nature, #meme",Berlin,1/5/2023 13:39,2587
static-image,1638,451,239,6494,"#tech, #meme, #nature",London,9/27/2023 19:50,2328
carousel,735,244,131,7210,"#travel, #food, #nature",Sydney,6/7/2023 14:25,1110
static-image,29,4,2,139,"#tech, #inspiration, #photo, #travel, #fun",New York,10/19/2023 0:59,35
reels,924,314,65,8896,"#food, #nature",Paris,8/21/2023 22:55,1303
reels,2879,626,449,9735,"#meme, #fun",Mumbai,2/14/2023 8:06,3954
carousel,85,21,9,1293,"#nature, #travel, #life, #tech",Sydney,12/27/2023 18:35,115
static-image,118,25,22,2183,"#health, #photo, #inspiration, #fun, #travel",Berlin,8/2/2023 23:43,165
videos,1898,316,229,7293,#nature,Los Angeles,8/22/2023 15:29,2443
story,1365,539,244,7091,"#fun, #meme",Sydney,2/10/2023 22:15,2148
videos,1615,617,141,8906,"#inspiration, #meme",Mumbai,7/4/2023 17:55,2373
carousel,678,264,96,3248,"#fun, #photo, #health",Sydney,5/1/2023 13:49,1038
carousel,747,90,112,2577,"#health, #photo, #tech, #nature, #food",New York,4/14/2023 16:14,949
static-image,1241,176,246,8190,"#photo, #meme, #inspiration",Singapore,8/21/2023 10:11,1663
carousel,646,181,54,6625,#food,Berlin,6/15/2023 18:41,881
story,945,302,175,9258,#life,Berlin,2/24/2023 5:54,1422
videos,1701,186,227,7776,"#fun, #meme, #inspiration, #tech, #health",Singapore,10/13/2023 23:59,2114
carousel,382,141,34,2163,"#tech, #food",Toronto,6/3/2023 13:17,557
carousel,193,28,23,709,#health,New York,11/4/2023 19:21,244
story,1258,460,130,5840,"#photo, #fun, #inspiration",Toronto,7/31/2023 6:31,1848
videos,1491,530,74,7220,"#food, #fun, #meme, #health, #nature",Tokyo,3/28/2023 17:19,2095
carousel,154,36,24,717,"#health, #nature, #travel, #meme",Toronto,5/14/2023 1:49,214
carousel,1269,277,149,6794,"#photo, #tech, #food",London,11/6/2023 10:14,1695
static-image,963,220,126,9500,"#food, #life, #photo",Paris,12/16/2023 21:22,1309
story,1212,172,191,7844,#health,Berlin,10/4/2023 15:36,1575
videos,2059,699,159,8982,"#fun, #food, #travel",Tokyo,8/9/2023 14:59,2917
static-image,26,2,4,265,"#health, #fun, #travel",Mumbai,5/30/2023 12:21,32
story,2141,762,303,9683,"#meme, #tech, #fun, #photo",Mumbai,9/4/2023 9:24,3206
story,336,126,39,5873,"#food, #meme, #travel, #health",New York,11/9/2023 22:37,501
story,2334,855,154,8018,"#nature, #tech, #inspiration, #photo, #life",New York,9/16/2023 2:26,3343
static-image,633,235,47,8064,"#tech, #fun",Singapore,7/12/2023 3:26,915
story,696,149,115,3356,"#nature, #inspiration, #tech, #health, #travel",London,10/20/2023 12:59,960
videos,1459,558,218,5576,#meme,Toronto,5/2/2023 15:05,2235
static-image,462,169,44,2787,#life,Los Angeles,1/17/2023 14:05,675
reels,1606,475,168,6307,#tech,Paris,2/16/2023 9:18,2249
videos,1276,269,134,7818,#meme,Toronto,3/31/2023 18:34,1679
story,497,131,67,5979,"#health, #inspiration, #tech",Sydney,1/7/2023 18:57,695
carousel,2063,484,346,8394,"#inspiration, #photo, #tech, #meme",Los Angeles,8/18/2023 16:59,2893
static-image,411,123,20,2179,"#photo, #health, #travel",New York,8/3/2023 11:37,554
reels,1646,298,203,8197,"#fun, #tech, #health",New York,9/27/2023 19:49,2147
carousel,2550,831,487,8788,#life,New York,12/12/2023 4:07,3868
story,254,48,13,2990,#photo,Mumbai,7/8/2023 14:51,315
videos,1097,121,113,7505,"#inspiration, #health, #nature",London,9/19/2023 2:44,1331
reels,666,207,66,9835,"#food, #inspiration",Sydney,7/11/2023 15:01,939
static-image,1533,299,76,5572,"#tech, #nature, #meme, #fun",New York,10/15/2023 4:18,1908
videos,119,21,6,1717,"#fun, #photo, #food",Berlin,4/13/2023 6:10,146
carousel,1039,176,206,7575,#inspiration,Berlin,12/1/2023 9:06,1421
videos,67,18,8,857,"#travel, #health",Los Angeles,8/22/2023 7:43,93
carousel,463,104,68,3541,"#health, #travel, #meme",Berlin,11/22/2023 15:58,635
static-image,408,76,23,5457,"#photo, #life, #tech, #inspiration",Tokyo,7/4/2023 4:36,507
carousel,299,39,16,2758,"#health, #photo",New York,4/13/2023 11:59,354
videos,266,74,51,932,"#inspiration, #health, #tech, #food",Sydney,11/5/2023 18:25,391
reels,2401,550,239,9819,"#tech, #life, #photo, #travel, #nature",New York,9/29/2023 15:46,3190
carousel,941,204,126,7553,"#fun, #meme, #food",Singapore,7/27/2023 0:39,1271
reels,652,90,69,9762,"#fun, #inspiration, #meme, #food, #tech",New York,6/4/2023 23:28,811
static-image,687,69,78,5472,"#inspiration, #nature, #health, #tech",New York,12/2/2023 21:37,834
static-image,425,123,72,1541,"#photo, #meme",Singapore,5/4/2023 21:42,620
videos,778,240,143,2611,"#fun, #travel, #life",Singapore,9/17/2023 19:22,1161
videos,615,190,36,2254,#tech,Paris,1/3/2023 5:36,841
story,500,143,32,2296,"#food, #meme, #photo, #tech, #health",Sydney,10/16/2023 11:46,675
static-image,519,159,50,8238,"#health, #inspiration",Paris,3/23/2023 20:34,728
static-image,1088,193,71,3818,"#travel, #food",Toronto,5/24/2023 14:52,1352
static-image,311,79,57,1228,"#photo, #travel",Tokyo,12/19/2023 5:18,447
story,295,82,26,2745,"#photo, #nature, #tech, #fun",Mumbai,4/4/2023 16:13,403
static-image,254,28,38,4921,"#health, #life, #tech, #travel",Los Angeles,3/4/2023 6:57,320
videos,1272,187,95,7075,"#tech, #travel",Tokyo,10/30/2023 23:35,1554
carousel,1169,294,204,4001,"#food, #nature",Paris,7/9/2023 7:18,1667
carousel,53,19,4,1027,"#tech, #inspiration, #nature, #food",London,7/9/2023 1:53,76
reels,2415,966,136,9777,"#meme, #photo",Paris,5/26/2023 11:35,3517
reels,232,82,23,2304,#inspiration,Los Angeles,4/10/2023 16:53,337
reels,375,103,18,3078,"#health, #meme, #inspiration, #life, #tech",Mumbai,3/27/2023 5:53,496
videos,2740,513,273,9686,"#photo, #food, #travel",Toronto,3/2/2023 10:04,3526
carousel,980,229,95,9676,"#inspiration, #nature, #meme, #photo",London,3/25/2023 19:19,1304
static-image,833,107,156,8629,"#tech, #inspiration, #photo, #travel, #life",Los Angeles,1/23/2023 7:45,1096
story,513,192,82,9856,"#life, #travel",Sydney,5/28/2023 4:22,787
reels,348,44,26,6313,"#tech, #health, #nature",Mumbai,12/6/2023 17:23,418
reels,107,20,9,376,"#life, #nature",Berlin,1/28/2023 20:17,136
reels,1273,482,229,7083,"#life, #nature, #meme",Tokyo,4/14/2023 21:45,1984
reels,519,113,47,2451,"#inspiration, #photo",Paris,12/14/2023 21:45,679
reels,1142,326,142,7840,"#photo, #meme, #inspiration",Mumbai,6/25/2023 19:56,1610
static-image,1191,443,98,5181,"#meme, #fun",Mumbai,2/5/2023 8:12,1732
static-image,1598,443,242,5744,"#tech, #meme, #life, #inspiration, #health",Singapore,1/24/2023 13:30,2283
reels,2002,790,348,8373,#health,Los Angeles,12/20/2023 0:41,3140
story,422,118,50,4196,"#photo, #tech, #life, #fun, #health",Tokyo,8/12/2023 15:59,590
story,812,84,90,8331,"#photo, #inspiration, #meme, #health, #tech",London,7/22/2023 17:42,986
static-image,943,194,160,7016,#fun,Singapore,4/9/2023 23:44,1297
static-image,353,53,36,4360,#health,Tokyo,10/2/2023 8:22,442
static-image,2671,893,410,9918,"#fun, #food",Los Angeles,1/6/2023 2:09,3974
story,1344,252,150,5681,#inspiration,New York,2/18/2023 14:47,1746
carousel,824,135,144,3190,"#tech, #nature",Paris,10/13/2023 4:22,1103
story,572,181,67,7622,"#photo, #inspiration",Toronto,9/11/2023 18:30,820
static-image,566,149,103,5689,"#inspiration, #travel, #tech, #life, #meme",Mumbai,5/20/2023 19:47,818
reels,1009,229,170,6886,"#meme, #travel, #food, #life, #inspiration",Toronto,12/11/2023 15:22,1408
videos,2159,260,346,7767,"#fun, #health, #food, #meme",Tokyo,3/3/2023 21:38,2765
static-image,1386,506,223,5386,"#health, #food, #travel, #tech",Toronto,12/10/2023 10:59,2115
videos,356,69,17,3989,"#photo, #food, #inspiration",London,7/24/2023 2:00,442
videos,855,152,96,5560,"#travel, #photo, #nature, #food, #meme",Los Angeles,7/8/2023 23:16,1103
videos,1156,367,185,4367,"#inspiration, #food",Singapore,4/5/2023 17:49,1708
story,868,209,150,3622,#photo,Los Angeles,8/8/2023 5:34,1227
videos,183,67,20,818,#meme,Singapore,11/20/2023 4:51,270
static-image,1296,260,126,5584,#inspiration,Sydney,9/14/2023 22:53,1682
carousel,547,83,44,3909,"#meme, #health, #nature, #fun, #tech",Berlin,10/11/2023 5:36,674
static-image,2339,736,146,9720,"#food, #travel, #health, #meme, #nature",Sydney,1/25/2023 17:30,3221
static-image,315,32,30,1558,#travel,Singapore,3/19/2023 6:18,377
static-image,44,10,2,840,"#life, #inspiration, #health, #nature, #tech",Tokyo,2/14/2023 18:29,56
videos,685,247,111,3629,"#life, #inspiration",New York,11/16/2023 17:16,1043
reels,1346,244,162,5950,"#nature, #health",Tokyo,5/18/2023 12:13,1752
videos,657,183,128,6508,"#nature, #life, #inspiration, #health",New York,4/24/2023 16:48,968
videos,394,47,76,4507,"#meme, #photo, #health",Tokyo,9/18/2023 17:47,517
videos,1600,614,253,6310,"#fun, #life, #health",Berlin,3/21/2023 14:18,2467
carousel,300,89,31,1490,"#food, #photo",Sydney,8/23/2023 8:19,420
story,2198,659,434,8112,"#photo, #travel, #life, #fun",Paris,3/28/2023 0:26,3291
reels,543,151,47,3545,"#fun, #life",Tokyo,1/24/2023 5:34,741
story,1173,176,65,4586,"#nature, #inspiration, #travel",Tokyo,1/25/2023 23:23,1414
videos,166,39,22,586,"#meme, #nature, #fun, #inspiration",London,2/8/2023 11:14,227
static-image,626,137,44,2299,"#photo, #tech, #fun, #food, #travel",Tokyo,5/12/2023 2:18,807
videos,287,68,26,1617,"#health, #photo, #life, #travel",London,5/14/2023 1:14,381
story,228,75,31,1460,#tech,Los Angeles,8/14/2023 18:41,334
videos,2147,625,167,9672,"#photo, #meme, #health, #food, #life",Paris,5/18/2023 12:12,2939
videos,132,16,24,2148,"#meme, #inspiration, #nature, #food, #tech",Singapore,9/1/2023 8:05,172
story,938,291,99,5300,#travel,Sydney,5/29/2023 5:21,1328
videos,28,8,3,489,"#travel, #meme, #nature, #inspiration",Mumbai,8/16/2023 5:14,39
static-image,262,89,17,2140,"#inspiration, #meme, #health, #travel, #food",Los Angeles,11/8/2023 9:41,368
story,562,209,108,4559,"#tech, #fun",Tokyo,1/13/2023 0:32,879
videos,1796,640,281,9458,"#fun, #nature, #tech, #photo, #travel",Berlin,2/12/2023 18:26,2717
carousel,1022,329,140,5468,"#nature, #photo, #food, #tech, #life",Sydney,12/29/2023 6:14,1491
carousel,849,310,148,3263,"#tech, #travel, #nature, #fun, #food",Paris,6/23/2023 17:15,1307
static-image,423,77,79,1953,"#travel, #food",Toronto,12/11/2023 7:15,579
carousel,256,34,51,2071,"#photo, #meme",Los Angeles,5/26/2023 4:19,341
static-image,848,270,59,7387,"#life, #nature, #food, #travel",Paris,1/29/2023 4:38,1177
videos,864,86,150,3779,"#tech, #food",Tokyo,9/25/2023 8:51,1100
videos,133,37,13,504,"#tech, #inspiration, #nature, #photo",Paris,10/6/2023 12:02,183
reels,656,242,123,7382,"#life, #nature, #photo",Toronto,1/12/2023 13:03,1021
story,286,73,49,5138,"#travel, #inspiration, #photo",Paris,2/19/2023 16:40,408
static-image,730,182,42,4097,"#food, #tech",Paris,6/4/2023 17:21,954
videos,159,62,21,3164,"#inspiration, #food, #nature, #tech, #fun",London,11/26/2023 12:25,242
story,156,51,18,1884,"#tech, #nature, #fun",Berlin,5/3/2023 15:34,225
videos,251,71,24,4664,"#food, #meme, #inspiration, #health, #travel",Sydney,6/7/2023 6:45,346
static-image,925,291,56,7073,"#tech, #food",Paris,4/11/2023 18:01,1272
static-image,1157,120,104,7276,"#life, #tech, #nature",Los Angeles,1/12/2023 6:45,1381
story,1322,494,172,7041,"#fun, #travel, #nature",Singapore,12/17/2023 6:14,1988
reels,2224,378,122,9066,"#fun, #health, #inspiration, #travel, #photo",London,2/22/2023 4:14,2724
reels,839,329,90,5443,"#nature, #health, #fun, #inspiration, #food",London,9/2/2023 18:19,1258
reels,1771,498,338,8753,"#food, #life, #fun, #photo",Toronto,10/29/2023 8:49,2607
story,32,3,5,110,"#tech, #meme",Berlin,10/28/2023 15:02,40
carousel,564,154,84,2635,"#inspiration, #health",London,3/9/2023 22:57,802
story,1645,302,178,8341,"#photo, #nature",Sydney,3/18/2023 11:13,2125
videos,420,98,21,6631,"#health, #tech, #photo",Sydney,8/20/2023 5:06,539
videos,519,152,75,4564,"#tech, #life, #health, #photo, #food",Singapore,10/7/2023 3:14,746
videos,128,19,12,2371,"#inspiration, #fun",Mumbai,5/24/2023 4:31,159
videos,1610,510,108,6695,"#food, #travel, #photo",Paris,3/23/2023 9:04,2228
reels,513,83,83,9718,"#meme, #travel, #tech, #food",New York,10/20/2023 5:36,679
story,644,198,86,9891,"#health, #fun",Paris,11/11/2023 2:58,928
story,1478,583,139,5826,"#health, #travel, #life, #meme, #nature",Sydney,8/10/2023 22:00,2200
videos,884,309,98,5831,"#tech, #nature, #photo",Singapore,7/7/2023 15:01,1291
story,475,87,23,5936,"#health, #fun, #photo, #meme, #inspiration",Sydney,1/8/2023 13:55,585
carousel,21,3,4,104,"#food, #meme, #fun, #photo",Tokyo,12/21/2023 20:05,28
carousel,1115,307,217,8832,"#nature, #inspiration, #travel, #fun, #meme",New York,8/11/2023 9:03,1639
videos,1242,145,63,9228,"#fun, #nature, #life, #inspiration",Paris,11/18/2023 2:39,1450
videos,774,101,146,6690,"#travel, #fun",Toronto,1/19/2023 20:41,1021
videos,313,33,44,3704,"#food, #tech, #life, #fun",London,8/29/2023 23:46,390
reels,435,69,76,2507,"#food, #travel, #photo, #fun, #health",London,12/11/2023 18:41,580
static-image,907,360,76,4399,"#photo, #nature, #inspiration, #life, #fun",Tokyo,6/19/2023 7:58,1343
story,1089,251,107,3776,"#tech, #nature",Singapore,2/14/2023 15:55,1447
static-image,703,150,102,3592,"#travel, #photo",London,12/5/2023 14:51,955
static-image,84,26,8,1554,#photo,London,5/8/2023 7:21,118
static-image,1387,267,102,4934,"#meme, #photo, #tech",Paris,1/25/2023 19:08,1756
carousel,141,52,22,1170,#health,Singapore,9/18/2023 12:02,215
carousel,273,48,46,1069,"#health, #photo, #inspiration, #meme, #tech",Paris,11/2/2023 23:02,367
static-image,17,2,2,188,"#photo, #fun, #health, #tech",Berlin,3/2/2023 22:52,21
videos,1132,444,89,4093,"#travel, #meme, #tech, #life, #inspiration",Sydney,12/22/2023 8:07,1665
static-image,546,214,70,6906,"#health, #fun, #tech, #food, #nature",London,10/6/2023 10:21,830
static-image,109,32,18,632,#meme,Mumbai,9/28/2023 17:04,159
videos,2090,393,374,8721,"#nature, #health",Toronto,9/25/2023 21:09,2857
videos,557,205,90,2041,"#tech, #health, #life",Berlin,5/4/2023 3:06,852
carousel,631,192,63,9275,"#photo, #health, #nature, #inspiration",Singapore,3/7/2023 22:29,886
story,1506,359,198,6013,"#photo, #nature",Berlin,12/27/2023 19:08,2063
static-image,157,50,25,1193,"#travel, #fun, #food",Paris,4/4/2023 3:46,232
reels,504,125,63,7686,"#travel, #health, #inspiration, #food",Paris,3/15/2023 18:02,692
reels,2037,652,253,9131,"#tech, #inspiration, #meme, #life, #photo",Paris,12/18/2023 18:38,2942
carousel,662,249,92,4647,"#travel, #nature, #food",Paris,2/6/2023 6:56,1003
static-image,374,46,74,2731,#nature,Paris,5/25/2023 7:57,494
static-image,2002,240,352,8537,"#meme, #tech, #nature",Singapore,12/27/2023 23:33,2594
videos,1019,283,164,4015,"#photo, #nature",Los Angeles,12/18/2023 5:46,1466
story,890,94,119,8425,"#tech, #travel, #meme",Mumbai,2/24/2023 21:36,1103
videos,891,252,110,5670,"#nature, #health, #inspiration",Toronto,2/27/2023 17:54,1253
videos,1836,233,240,6808,#nature,Paris,3/13/2023 8:32,2309
static-image,918,304,137,3554,"#life, #tech, #photo, #inspiration, #fun",Singapore,3/16/2023 8:58,1359
reels,1183,378,134,4111,#travel,New York,7/24/2023 6:22,1695
story,719,108,117,3038,#tech,Singapore,7/11/2023 18:42,944
videos,926,131,151,5349,"#tech, #food",Tokyo,7/23/2023 20:14,1208
reels,685,270,100,2487,"#food, #nature",Singapore,1/22/2023 20:55,1055
videos,84,16,6,994,#fun,Berlin,3/30/2023 8:07,106
story,628,89,44,2867,#photo,New York,2/25/2023 21:02,761
carousel,594,167,77,2962,#travel,Los Angeles,11/29/2023 6:33,838
static-image,1952,613,109,9552,"#nature, #inspiration",Tokyo,1/21/2023 11:59,2674
carousel,477,97,68,7094,"#meme, #food, #health",Tokyo,12/30/2023 14:20,642
static-image,40,16,5,638,"#fun, #nature, #meme",Paris,8/28/2023 1:47,61
reels,586,68,83,9881,"#health, #travel",Tokyo,6/3/2023 16:29,737
story,103,30,19,1215,#photo,Mumbai,10/12/2023 20:01,152
videos,645,200,33,9193,"#food, #photo, #tech, #inspiration, #health",Paris,4/30/2023 13:14,878
videos,85,33,11,1417,"#inspiration, #fun, #travel, #health, #nature",Mumbai,9/13/2023 12:00,129
reels,1900,611,287,8120,"#inspiration, #fun, #nature, #travel",Singapore,7/5/2023 2:13,2798
static-image,280,36,16,1794,"#photo, #health",Paris,12/19/2023 7:31,332
reels,1607,457,156,8622,"#nature, #inspiration, #health, #fun, #travel",London,6/5/2023 2:54,2220
static-image,268,35,43,1884,"#fun, #inspiration, #travel, #life",Tokyo,7/2/2023 9:48,346
videos,1509,330,144,8163,"#life, #fun, #meme, #food",New York,6/30/2023 14:23,1983
carousel,839,119,75,3014,"#food, #nature, #health, #inspiration, #travel",Los Angeles,8/4/2023 4:15,1033
carousel,224,85,38,3415,"#meme, #tech",Berlin,1/19/2023 12:55,347
videos,1734,319,342,9625,#meme,Berlin,3/27/2023 7:51,2395
videos,328,44,38,2354,#health,Mumbai,10/28/2023 11:38,410
static-image,27,9,5,116,#life,London,6/8/2023 18:56,41
reels,2250,724,191,9712,#travel,Paris,5/1/2023 11:10,3165
reels,959,313,186,3359,"#photo, #tech",Mumbai,9/9/2023 22:02,1458
story,225,24,38,2896,"#fun, #photo",Sydney,12/13/2023 3:59,287
carousel,761,302,116,4115,"#fun, #tech, #life, #travel",Toronto,6/13/2023 2:12,1179
videos,478,115,74,4194,#tech,Los Angeles,2/8/2023 17:00,667
static-image,322,115,37,4213,#tech,New York,1/2/2023 3:11,474
carousel,863,312,57,3393,"#fun, #tech, #travel, #nature",Berlin,3/7/2023 20:36,1232
static-image,867,133,88,4013,"#tech, #inspiration, #meme",Mumbai,5/21/2023 18:10,1088
reels,614,191,107,5022,#health,New York,2/1/2023 0:17,912
carousel,448,67,51,2377,"#inspiration, #meme, #travel",Tokyo,10/16/2023 20:14,566
carousel,542,140,59,3576,"#meme, #photo, #fun, #nature, #life",Los Angeles,11/9/2023 9:35,741
carousel,671,260,110,2630,"#inspiration, #fun, #nature, #travel",Singapore,7/5/2023 23:37,1041
